Product Name,Link,Price,Process,Sub Type,What specific type of conveyor table for are looking for  ?,What is the total width (inches) you require for the conveyor table?,What weight capacity (lbs) do you need the conveyor table to support?,What length (ft) do you need for the conveyor table?,What is the width between the frames (inches) that you require for the conveyor table?,What diameter (inches) do you prefer for the balls on the conveyor table?,What is the preferred distance (inch) between the centers of the balls on the conveyor table ?,"Do you prefer a conveyor table that requires no assembly, or are you okay with some assembly required?",What is the acceptable weight (lbs) for the conveyor table?,"Are you looking for a straight conveyor section or a specific curve (e.g., 90 Degree Curve)?",What direction of  curve do you need for the conveyor system ?,What length of belt do you need for the conveyor system (ft)?,What belt width do you require for the conveyor system (Inch )?,What is the load capacity you require for the conveyor system (lbs)?,What overall bed width do you require for the conveyor system (inch)?,Do you prefer a conveyor system that requires assembly or one that comes pre-assembled?,"What voltage requirement do you have for the conveyor system (e.g., 115 V, 230 V)?",What horsepower (HP) rating do you need for the conveyor's motor?,Do you need a straight or flexible conveyor section?,What Type of Power Roller Conveyor you looking for?,What width do you require for the conveyor system (in inch)?,What length do you need for the conveyor system (ft)?,What is the maximum weight (lbs per Ft) that you anticipate the conveyor system to support?,What height do you need for the conveyor system (inch)?,What diameter rollers do you require for the conveyor system (inch)?,How many leg sets per unit do you need for the conveyor system?,What type of conveyor is it?,How much length is required (ft) ?,What is the width of the conveyor?,What is the width between the frames of the conveyor?,What  weight capacity of the conveyor is required?,Is assembly required for the conveyor?,What is the diameter (inch) of the rollers ?,What is the width (inch) of the conveyor stand you need?,What is the maximum leg height you require for the stand?,What is the between frame width (inch) required for your application?,How much weight (lbs) does the stand need to support?,"Are you looking for a specific type of support, such as H-Brace Support?",What is the maximum leg height (inch) you require for the stand?,How much Weight (lbs) of Support stand you need,What should be width of Rate Counters sensor (inch)?,What should be Lenght of Rate Counters sensor (inch)?,What should be Height of Rate Counters sensor (inch) ?,What is width (inch) of belt needed to be Stapled ?,What is width (inch) of belt needed to be laced ?,What is width (inch) of belt needed to be laced ?,Specify a weight capacity (Lbs),How much horizontal distance must the gantry cover? (Ft),Do you need height adjustment in the gantry frame?,Specify a width for the gantry beam (ie. Flange width) (in.),Specify a height for the gantry beam (ie. Beam Height) (in.),Select a wheel diameter (in.),Do you require the truck to be powered?,Specify a Weight Capacity (Lbs),Specify a Wheel Diameter (in.),Specify a Weight Capacity (Lbs),Select a width for the hopper (in.),Select a length for the hopper (in.),Select an overall height (in.),Specify a Weight Capacity (Lbs),Select a nose width (in.),Select a nose depth (in.),Select an overall height for the hand truck (in.),Specify a Weight Capacity (Lbs),Do you require the truck to be powered?,Select a width for the holding surface (in.),Select a length for the holding surface (in.),Do your required the truck to be powered?,Specify a Weight Capacity (Lbs),Select a width for the holding surface (in.),Select a length for the holding surface (in.),Specify a Wheel Diameter (in.),Specify a Weight Capacity (Lbs),Select a width for the holding surface (in.),Select a length for the holding surface (in.),Select an overall height for the hand truck (in.),Specify a Wheel Diameter (in.),Dynamic Fork Weight Capacity (Lbs.),Select a Width (in.),Select a Height (in.),Select a Length (in.),Select a Material,Specify the Fork Entry,Do you require the Pallet Jack/Truck to be powered?,Specify a Weight Capacity (Lbs.),Select a fork width (in.),Select a maximum lifting height (in.),Select a fork length (in.),What is weight capacity/ Extended W.C of the equipment? (Lbs),What is minimum/retracted weight capacity of the equipment? (Lbs),What cable length do you want? (Inches),Do you need extendable Boom?,What is the boom length? (Inches),What is the boom height? (Inches),Usable Mast Height? (Inches),Usable Mast Diameter (mm),Expected weight of the equipment? (Lbs),Length of the equipment  (Inches),Height of the equipment (Inches),Width of the equipment (Inches),What is the required material type?,What type of hoist are you looking for?,What is the maximum weight that you will need the hoist to lift? (lb),What is the required lifting height for your application? (ft),How much does the hoist itself need to weigh for portability or mounting? (Lbs),How much clearance is needed above the hoist? (Inches),How long do you need the control cord to be? (ft),At what speed do you need the hoist to lift the load? (ft/min),Specify the Width (Inches),Specify the Length (Inches),Specify the Height (Inches),"Are there any specific features or types of the hoist that you need (e.g., air, electric, manual)?","What type of suspension do you require for the hoist (e.g., hook, trolley)?",What chain diameter is required for your lifting needs? (mm),Specify the Material Type,What type of boom are you interested in?,What is the weight of the boom your facility can accommodate? (Lbs),What is the required Weight Capacity? (Lbs),Which boom length will be sufficient for your operational needs? (Ft),Which column height will be sufficient for your operational needs? (Ft),Specify the Width (Inches),Specify the Height (Inches),Material,What is the width of the wheel you need for your conveyor system? (Inches),What diameter are the wheels you are seeking for the conveyor? (Inches),What weight capacity does each wheel need to support in your conveyor setup? (Lbs),"What type of wheel are you looking for, such as a V-groove wheel, flanged wheel, or another specific kind?",What is the required width of the support stand to fit your conveyor? (Inches),What is the width between the frames of your conveyor that the stand will need to accommodate? (Inches),What is the weight limit for the support stand that your floor can handle? (Lbs),"How much weight does the support stand need to hold, including the conveyor and the load on the conveyor? (Lbs)",Are you looking for a stationary or a mobile support stand?,What is the maximum leg height you need for the stand to reach the desired level of your conveyor? (Inches),What is the minimum leg height required for the stand to work with your conveyor? (Inches),Specify the Conveyor Section,What is the maximum width between the frames of the conveyor that you need? (Inches),What weight capacity per foot does your operation require from the conveyor? (Ft. Lbs),Is there a weight limit that the conveyor structure must adhere to? (Lbs),How wide does the conveyor need to be to accommodate your products? (Inches),What is the range of lengths you need the conveyor to extend to? (Ft),Specify a specific skate wheel diameter for handling your goods?,What is the desired height for the conveyor to align with other equipment? (Inches),What axle center distance is required for your products to move smoothly? (Inches),What is the maximum outside radius needed for the conveyor to fit within your facility?,Do you have a minimum inside radius requirement for the conveyor curves?,What is the maximum leg height you need for the conveyor to reach elevated areas?,What is the minimum leg height necessary for your conveyor to operate efficiently?,"Do you need the conveyor to have an adjustable length, and if so, what is the range?",Are there any specific materials you require for the skate wheels or rollers for durability or compatibility with products?,"Do you need individual sections of the conveyor, or are you looking for a complete system?",What is the maximum load weight that you need the jib crane to handle? (Lbs),What length of jib arm are you looking for? (Inches),What is the height requirement for the crane in your work area? (Inches),Is there a weight limit for the crane equipment itself based on your facility's floor capacity? (Lbs),Specify the Hoist Type you are looking for.,How much overhead space do you have available for the crane operation? (Inches),How high does the hoist need to lift the load? (Ft),Specify the equipment Width? (Inches),What specific type of freestanding jib crane are you interested in?,What weight capacity do you require for your lifting tasks? (Lbs),Specify the Equipment Weight you can support. (Lbs),What are the base diameter or dimension requirements for your installation space? (Inches),What is the required I-beam height you need for your operations?,Specify the Flange Width. (Inches),Specify the Length Required. (Inches),Specify the Height Required. (Inches),What mast diameter is needed to meet your stability or design requirements? (Inches),Specify the Material
Omni Metalcraft Ball Transfer Table with 3INCH Centers 2240 Lb. Capacity BTRD3.5-24-3-4-.25,https://www.globalindustrial.ca/p/ball-transfer-table-with-3-centers-6400-lb-capacity?ref=42,1833,Ball Transfer Conveyors,Ball Transfer Conveyors,Ball Transfer Table,27.00,2240,4,24,1,,No,2240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashland Conveyor 6INCH Ball Transfer Drop-In Insert Plate 30106 - 36INCH BF - 2INCH Ball Centers,https://www.globalindustrial.ca/p/ball-transfer-conveyor-drop-in-insert-plate-bti362-with-2-center-75-lb-cap?ref=42,456.95,Ball Transfer Conveyors,Ball Transfer Conveyors,Drop-In Insert Plate,36.00,75,0.489583333,36,1,2,No,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hytrol® 3  Ball Transfer Table 3FT-BTT35-39-4 - 39INCH Between Frame - 4INCH Ball Center,https://www.globalindustrial.ca/p/hytrol-3-ft-ball-transfer-table-39-inch-between-frame-4-inch-ball-center?ref=42,1707,Ball Transfer Conveyors,Ball Transfer Conveyors,Ball Transfer Table,42.00,355,3,39,1,,No,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hytrol® 3  Ball Transfer Table 3FT-BTT35-33-3 - 33INCH Between Frame - 3INCH Ball Center,https://www.globalindustrial.ca/p/hytrol-3-ft-ball-transfer-table-33-inch-between-frame-3-inch-ball-center?ref=42,2005,Ball Transfer Conveyors,Ball Transfer Conveyors,Ball Transfer Table,36.00,355,3,33,1,,No,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omni Metalcraft Ball Transfer Table with 4INCH Centers 960 Lb. Capacity BTRS3.5-48-4-4-.25,https://www.globalindustrial.ca/p/ball-transfer-table-with-4-centers-7200-lb-capacity?ref=42,2157,Ball Transfer Conveyors,Ball Transfer Conveyors,Ball Transfer Table,51.00,960,4,48,1,,No,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hytrol® 2  Ball Transfer Table 2FT-BTT35-25-4 - 25INCH Between Frame - 4INCH Ball Center,https://www.globalindustrial.ca/p/hytrol-2-ft-ball-transfer-table-25-inch-between-frame-4-inch-ball-center?ref=42,682,Ball Transfer Conveyors,Ball Transfer Conveyors,Ball Transfer Table,28.00,240,2,25,1,,No,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omni Metalcraft Ball Transfer Table with 6INCH Centers 960 Lb. Capacity BTRD3.5-48-6-4-.25,https://www.globalindustrial.ca/p/ball-transfer-table-with-6-centers-3200-lb-capacity?ref=42,1660,Ball Transfer Conveyors,Ball Transfer Conveyors,Ball Transfer Table,51.00,960,4,48,1,,No,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omni Metalcraft Ball Transfer Table with 6INCH Centers 1440 Lb. Capacity BTRD3.5-36-6-4-.25,https://www.globalindustrial.ca/p/ball-transfer-table-with-6-centers-2400-lb-capacity?ref=42,1241,Ball Transfer Conveyors,Ball Transfer Conveyors,Ball Transfer Table,39.00,1440,4,36,1,,No,1440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashland Conveyor 4  Ball Transfer Conveyor Table 30436 - 36INCH BF - 4INCH Ball Centers,https://www.globalindustrial.ca/p/4-ball-transfer-conveyor-table-btit360404-with-4-center-75-lb-cap?ref=42,1873,Ball Transfer Conveyors,Ball Transfer Conveyors,Ball Transfer Table,38.75,75,4,36,1,4,No,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hytrol® 3  Ball Transfer Table 3FT-BTT35-13-4 - 13INCH Between Frame - 4INCH Ball Center,https://www.globalindustrial.ca/p/hytrol-3-ft-ball-transfer-table-13-inch-between-frame-4-inch-ball-center?ref=42,519,Ball Transfer Conveyors,Ball Transfer Conveyors,Ball Transfer Table,16.00,355,3,13,1,,No,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hytrol® 3  Ball Transfer Table 3FT-BTT35-27-4 - 27INCH Between Frame - 4INCH Ball Center,https://www.globalindustrial.ca/p/hytrol-3-ft-ball-transfer-table-27-inch-between-frame-4-inch-ball-center?ref=42,1034,Ball Transfer Conveyors,Ball Transfer Conveyors,Ball Transfer Table,30.00,355,3,27,1,,No,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pop-Up Ball Transfer Platform POPUP-1932 - 32INCHL x 19INCHW,https://www.globalindustrial.ca/p/pop-up-ball-transfer-platform-19-w-x-32-l?ref=42,1214,Ball Transfer Conveyors,Ball Transfer Conveyors,Pop-Up Ball Transfer Platform,19.00,250,2.666666667,,4.5,,Yes,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
